sensor_id,sensor_type,location
150,pms5003,7
160,pms5003,74
161,DHT22,74
57,SDS011,72
58,DHT22,72
103,SDS011,37
104,DHT22,37
140,SDS011,67
91,SDS011,70
92,DHT22,70
71,SDS011,35
141,DHT22,67
72,DHT22,35
51,SDS011,27
52,DHT22,27
138,SDS011,67
139,DHT22,67
100,SDS011,59
99,DHT22,59
158,pms5003,33
159,DHT22,33
176,pms5003,77
175,DHT22,77
944,pms5003,3505
945,DHT22,3505
174,pms5003,76
946,pms5003,3505
947,DHT22,3505
178,pms5003,78
177,DHT22,78
138,pms5003,67
49,pms5003,67
50,DHT22,67
140,pms5003,67
93,pms5003,18
94,DHT22,18
51,pms5003,27
61,SDS011,40
62,DHT22,40
57,pms5003,3522
58,DHT22,3522
71,pms5003,35
109,SDS011,71
110,DHT22,71
103,pms5003,37
49,pms5003,3573
50,DHT22,3573
104,DHT22,7
103,SDS011,7
138,pms5003,3576
139,DHT22,3576
224,pms5003,3596
223,DHT22,3596
140,pms5003,3579
141,DHT22,3579
844,pms5003,46
845,DHT22,46
173,DHT22,76
61,pms5003,37
62,DHT22,37
800,pms5003,35
801,DHT22,35
178,pms5003,3612
177,DHT22,3612
176,pms5003,76
175,DHT22,76
93,SDS011,18
792,pms5003,3580
793,DHT22,3580
4849,pms5003,3626
4850,DHT22,3626
158,pms5003,7
159,DHT22,7
154,pms5003,7
152,pms5003,7
153,DHT22,7
134,SDS011,7
135,UltimateGPS,7
28,DHT22,41
69,SDS011,61
70,DHT22,61
108,SDS011,60
107,DHT22,60
108,pms5003,60
946,pms5003,7
947,DHT22,7
944,pms5003,7
945,DHT22,7
908,pms5003,7
909,DHT22,7
87,pms5003,37
88,DHT22,37
79,SDS011,76
80,DHT22,76
500,pms5003,76
499,DHT22,76
151,DHT22,7
155,DHT22,7
3,SDS011,16
24,DHT22,16
156,pms5003,7
162,pms5003,7
163,DHT22,7
164,pms5003,7
165,DHT22,7
160,pms5003,7
161,DHT22,7
168,SPH0645_MIC,60
170,SPH0645_MIC,7
167,pms5003,7
172,DHT22,7
144,SDS011,69
145,DHT22,69
4820,pms5003,7
4821,DHT22,7
166,SDS011,7
169,DHT22,7
38,DHT22,8
89,SDS011,62
844,pms5003,7
845,DHT22,7
114,pms5003,28
113,DHT22,28
61,pms5003,40
157,DHT22,7
79,SDS011,30
80,DHT22,30
4789,DHT22,7
4786,pms5003,7
133,DHT22,7
87,pms5003,7
88,DHT22,7
503,UltimateGPS,60
4771,pms5003,7
4774,SPH0645_MIC,7
4773,UltimateGPS,7
4772,DHT22,7
4778,SPH0645_MIC,7
4777,UltimateGPS,7
4776,DHT22,7
4775,pms5003,7
808,pms5003,7
809,DHT22,7
73,pms5003,34
74,DHT22,34
49,SDS011,67
224,pms5003,7
223,DHT22,7
792,pms5003,7
793,DHT22,7
224,pms5003,3579
223,DHT22,3579
