location,lat,lon
7,-1.298,36.791
74,-1.413,36.953
72,-1.303,36.789
37,-1.316,36.87
67,-1.383,36.939
70,-1.446,37.001
35,-1.297,36.743
27,-1.306,36.773
59,-1.364,36.914
33,-1.255,36.693
77,-1.27,36.801
3505,-1.192,36.955
76,-1.261,36.782
78,-1.421,36.953
18,-1.292,36.821
40,-1.293,36.769
3522,-1.295,36.777
71,-1.261,36.772
3573,-1.289,36.825
3576,-1.265,36.857
3596,-1.295,36.86
3579,-1.239,36.791
46,-1.218,36.887
3612,-1.296,36.776
3580,-1.303,36.829
3626,-1.283,36.828
41,-1.322,36.797
61,-1.365,36.914
60,-1.364,36.915
16,-1.288,36.841
69,-1.33,36.866
8,-1.306,36.733
62,-1.327,36.882
28,-1.291,36.725
30,-1.29,36.777
34,-1.206,36.781
